id;date;store;rating;criterion;status
148;5/2/2014;Магазин 3;З/О;Да;Завершено
149;5/2/2014;Магазин 4;10;Да;Завершено
150;5/1/2014;Магазин 3;;;Отказ
151;5/2/2014;Магазин 4;10;Да;Завершено
152;5/2/2014;Магазин 4;;;Отказ
153;5/1/2014;Магазин 1;9;Да;Завершено
154;5/2/2014;Магазин 2;;;Отказ
155;5/2/2014;Магазин 4;9;Да;Завершено
156;5/1/2014;Магазин 4;10;Да;Завершено
157;5/2/2014;Магазин 1;9;Да;Завершено
158;5/2/2014;Магазин 4;8;Да;Завершено
159;5/2/2014;Магазин 2;10;Да;Завершено
160;5/2/2014;Магазин 4;8;Да;Завершено
161;5/2/2014;Магазин 1;10;Да;Завершено
162;5/2/2014;Магазин 2;5;Нет;Завершено
163;5/2/2014;Магазин 4;9;Да;Завершено
164;5/1/2014;Магазин 3;7;Да;Завершено
165;5/2/2014;Магазин 4;8;Да;Завершено
166;5/2/2014;Магазин 2;;;Отказ
167;5/2/2014;Магазин 2;10;Да;Завершено
168;5/2/2014;Магазин 4;10;Да;Завершено
169;5/2/2014;Магазин 2;8;Да;Завершено
170;5/2/2014;Магазин 4;З/О;Да;Завершено
171;5/2/2014;Магазин 4;10;Да;Завершено
172;5/2/2014;Магазин 4;З/О;Да;Завершено
173;5/1/2014;Магазин 1;8;Нет;Завершено
174;5/2/2014;Магазин 4;7;Да;Завершено
175;5/2/2014;Магазин 2;10;Да;Завершено
176;5/2/2014;Магазин 4;9;Да;Завершено
177;5/1/2014;Магазин 1;8;Да;Завершено
178;5/2/2014;Магазин 4;;;Отказ
179;5/1/2014;Магазин 3;10;Нет;Завершено
180;5/2/2014;Магазин 4;;;Отказ
181;5/2/2014;Магазин 4;9;Да;Завершено
182;5/1/2014;Магазин 1;9;Да;Завершено
183;5/2/2014;Магазин 2;;;Отказ
184;5/2/2014;Магазин 4;;;Отказ
185;5/1/2014;Магазин 1;9;Да;Завершено
186;5/1/2014;Магазин 3;9;Да;Завершено
187;5/1/2014;Магазин 1;9;Да;Завершено
188;5/2/2014;Магазин 2;9;Да;Завершено
189;5/2/2014;Магазин 4;10;Да;Завершено
190;5/2/2014;Магазин 2;10;Да;Завершено
191;5/1/2014;Магазин 4;9;Да;Завершено
192;5/2/2014;Магазин 2;10;Да;Завершено
193;5/1/2014;Магазин 4;;;Отказ
194;5/2/2014;Магазин 2;10;Да;Завершено
195;5/1/2014;Магазин 1;;;Отказ
196;5/1/2014;Магазин 3;9;Да;Завершено
197;5/1/2014;Магазин 3;9;Да;Завершено
198;5/1/2014;Магазин 1;9;Да;Завершено
199;5/2/2014;Магазин 3;;;Отказ
200;5/1/2014;Магазин 3;;;Отказ
201;5/2/2014;Магазин 2;9;Да;Завершено
202;5/1/2014;Магазин 4;8;Да;Завершено
203;5/1/2014;Магазин 1;8;Да;Завершено
204;5/1/2014;Магазин 3;10;Да;Завершено
205;5/2/2014;Магазин 2;9;Да;Завершено
206;5/2/2014;Магазин 2;10;Нет;Завершено
207;5/1/2014;Магазин 3;9;Да;Завершено
208;5/2/2014;Магазин 2;;;Отказ
209;5/1/2014;Магазин 1;9;Да;Завершено
210;5/1/2014;Магазин 3;9;Да;Завершено
211;5/2/2014;Магазин 2;10;Да;Завершено
212;5/1/2014;Магазин 3;8;Да;Завершено
213;5/1/2014;Магазин 3;10;Да;Завершено
214;5/2/2014;Магазин 2;;;Отказ
215;5/1/2014;Магазин 3;;;Отказ
216;5/1/2014;Магазин 1;9;Да;Завершено
217;5/1/2014;Магазин 3;9;Да;Завершено
218;5/1/2014;Магазин 3;10;Да;Завершено
219;5/2/2014;Магазин 2;;;Отказ
220;5/2/2014;Магазин 1;;;Отказ
221;5/2/2014;Магазин 2;7;Да;Завершено
222;5/2/2014;Магазин 1;10;Да;Завершено
223;5/2/2014;Магазин 2;;;Отказ
224;5/1/2014;Магазин 3;;;Отказ
225;5/2/2014;Магазин 2;;;Отказ
226;5/2/2014;Магазин 1;10;Да;Завершено
227;5/2/2014;Магазин 2;;;Отказ
228;5/1/2014;Магазин 3;;;Отказ
229;5/1/2014;Магазин 4;10;Да;Завершено
230;5/1/2014;Магазин 3;10;Да;Завершено
231;5/1/2014;Магазин 4;10;Да;Завершено
232;5/1/2014;Магазин 3;10;Да;Завершено
233;5/2/2014;Магазин 1;;;Отказ
234;5/1/2014;Магазин 3;;;Отказ
235;5/1/2014;Магазин 3;9;Да;Завершено
236;5/1/2014;Магазин 3;9;Да;Завершено
237;5/1/2014;Магазин 3;;;Отказ
238;5/1/2014;Магазин 3;;;Отказ
239;5/2/2014;Магазин 3;;;Отказ
240;5/1/2014;Магазин 3;10;Да;Завершено
241;5/2/2014;Магазин 1;9;Да;Завершено
242;5/1/2014;Магазин 3;2;Да;Завершено
243;5/1/2014;Магазин 3;9;Да;Завершено
244;5/1/2014;Магазин 4;9;Да;Завершено
245;5/2/2014;Магазин 3;;;Отказ
246;5/2/2014;Магазин 3;10;Да;Завершено
247;5/2/2014;Магазин 3;;;Отказ
248;5/2/2014;Магазин 1;;;Отказ
249;5/1/2014;Магазин 4;;;Отказ
250;5/1/2014;Магазин 2;7;З/О;Завершено
251;5/1/2014;Магазин 4;7;Да;Завершено
252;5/1/2014;Магазин 4;;;Отказ
253;5/1/2014;Магазин 4;8;Нет;Завершено
254;5/1/2014;Магазин 4;9;Да;Завершено
255;5/1/2014;Магазин 2;10;Да;Завершено
256;5/1/2014;Магазин 4;;;Отказ
257;5/1/2014;Магазин 4;;;Отказ
258;5/1/2014;Магазин 4;10;Да;Завершено
259;5/1/2014;Магазин 2;8;Да;Завершено
260;5/1/2014;Магазин 2;;;Отказ
261;5/1/2014;Магазин 2;9;Да;Завершено
262;5/1/2014;Магазин 2;;;Отказ
263;5/1/2014;Магазин 2;10;Да;Завершено
264;5/1/2014;Магазин 2;;;Отказ
265;5/1/2014;Магазин 2;;;Отказ
266;5/1/2014;Магазин 2;10;Да;Завершено
267;5/1/2014;Магазин 2;;;Отказ
268;5/1/2014;Магазин 2;8;Да;Завершено
269;5/2/2014;Магазин 1;;;Отказ
270;5/2/2014;Магазин 3;9;Да;Завершено
271;5/2/2014;Магазин 3;;;Отказ
272;5/2/2014;Магазин 3;9;Да;Завершено
273;5/2/2014;Магазин 1;10;Да;Завершено
274;5/2/2014;Магазин 3;10;Да;Завершено
275;5/2/2014;Магазин 1;10;Да;Завершено
276;5/2/2014;Магазин 3;9;Да;Завершено
277;5/2/2014;Магазин 1;;;Отказ
278;5/2/2014;Магазин 1;;;Отказ
279;5/2/2014;Магазин 3;3;Нет;Завершено
280;5/2/2014;Магазин 3;9;Да;Завершено
281;5/2/2014;Магазин 3;;;Отказ
282;5/2/2014;Магазин 3;;;Отказ
283;5/2/2014;Магазин 1;10;Да;Завершено
284;5/2/2014;Магазин 3;;;Отказ
285;5/2/2014;Магазин 1;;;Отказ
286;5/2/2014;Магазин 1;10;Да;Завершено
287;5/2/2014;Магазин 3;9;Да;Завершено
288;5/3/2014;Магазин 2;7;Да;Завершено
289;5/3/2014;Магазин 4;;;Отказ
290;5/3/2014;Магазин 1;9;Да;Завершено
291;5/3/2014;Магазин 1;9;Да;Завершено
292;5/3/2014;Магазин 2;;;Отказ
293;5/3/2014;Магазин 2;8;Да;Завершено
294;5/3/2014;Магазин 4;8;Да;Завершено
295;5/3/2014;Магазин 2;10;Да;Завершено
296;5/4/2014;Магазин 1;10;Да;Завершено
297;5/3/2014;Магазин 2;6;Да;Завершено
298;5/3/2014;Магазин 2;;;Отказ
299;5/3/2014;Магазин 4;9;Да;Завершено
300;5/3/2014;Магазин 2;10;Да;Завершено
301;5/3/2014;Магазин 2;;;Отказ
302;5/3/2014;Магазин 2;8;Да;Завершено
303;5/3/2014;Магазин 2;;;Отказ
304;5/3/2014;Магазин 2;10;Да;Завершено
305;5/4/2014;Магазин 2;;;Отказ
306;5/3/2014;Магазин 2;7;Нет;Завершено
307;5/3/2014;Магазин 2;;;Отказ
308;5/3/2014;Магазин 4;;;Отказ
309;5/3/2014;Магазин 2;;;Отказ
310;5/1/2014;Магазин 2;;;Отказ
311;5/1/2014;Магазин 2;6;Да;Завершено
312;5/2/2014;Магазин 1;10;Да;Завершено
313;5/1/2014;Магазин 2;9;Да;Завершено
314;5/1/2014;Магазин 2;;;Отказ
315;5/1/2014;Магазин 2;9;Да;Завершено
316;5/1/2014;Магазин 2;5;Да;Завершено
317;5/3/2014;Магазин 2;10;Да;Завершено
318;5/3/2014;Магазин 2;5;Да;Завершено
319;5/3/2014;Магазин 2;10;Да;Завершено
320;5/3/2014;Магазин 2;3;Да;Завершено
321;5/3/2014;Магазин 2;10;Да;Завершено
322;5/4/2014;Магазин 2;4;З/О;Завершено
323;5/3/2014;Магазин 1;9;Да;Завершено
324;5/3/2014;Магазин 2;;;Отказ
325;5/3/2014;Магазин 2;;;Отказ
326;5/3/2014;Магазин 2;7;Да;Завершено
327;5/3/2014;Магазин 2;6;Да;Завершено
328;5/3/2014;Магазин 2;9;Да;Завершено
329;5/4/2014;Магазин 2;;;Отказ
330;5/3/2014;Магазин 2;5;Да;Завершено
331;5/3/2014;Магазин 2;5;Да;Завершено
332;5/3/2014;Магазин 2;6;Нет;Завершено
333;5/3/2014;Магазин 2;;;Отказ
334;5/3/2014;Магазин 2;;;Отказ
335;5/3/2014;Магазин 2;9;Да;Завершено
336;5/4/2014;Магазин 1;10;Да;Завершено
337;5/3/2014;Магазин 2;8;Да;Завершено
338;5/3/2014;Магазин 2;;;Отказ
339;5/3/2014;Магазин 4;;;Отказ
340;5/3/2014;Магазин 2;9;Да;Завершено
341;5/3/2014;Магазин 2;;;Отказ
342;5/3/2014;Магазин 4;З/О;Нет;Завершено
343;5/3/2014;Магазин 4;6;Да;Завершено
344;5/2/2014;Магазин 3;10;Да;Завершено
345;5/2/2014;Магазин 3;8;Да;Завершено
346;5/2/2014;Магазин 3;10;Да;Завершено
347;5/2/2014;Магазин 3;;;Отказ
348;5/2/2014;Магазин 3;;;Отказ
349;5/2/2014;Магазин 1;;;Отказ
350;5/2/2014;Магазин 1;9;Да;Завершено
351;5/2/2014;Магазин 1;10;Да;Завершено
352;5/2/2014;Магазин 1;10;Да;Завершено
353;5/2/2014;Магазин 1;8;Да;Завершено
354;5/2/2014;Магазин 3;10;Да;Завершено
355;5/2/2014;Магазин 3;;;Отказ
356;5/2/2014;Магазин 3;10;Да;Завершено
357;5/2/2014;Магазин 3;;;Отказ
358;5/2/2014;Магазин 3;;;Отказ
359;5/2/2014;Магазин 3;;;Отказ
360;5/2/2014;Магазин 3;;;Отказ
361;5/2/2014;Магазин 3;;;Отказ
362;5/2/2014;Магазин 3;10;Да;Завершено
363;5/2/2014;Магазин 3;10;Да;Завершено
364;5/2/2014;Магазин 3;;;Отказ
365;5/2/2014;Магазин 3;;;Отказ
366;5/2/2014;Магазин 3;;;Отказ
367;5/2/2014;Магазин 3;10;Да;Завершено
368;5/2/2014;Магазин 3;9;Да;Завершено
369;5/2/2014;Магазин 3;;;Отказ
370;5/2/2014;Магазин 3;З/О;Да;Завершено
371;5/2/2014;Магазин 3;9;Да;Завершено
372;5/2/2014;Магазин 3;10;Да;Завершено
373;5/2/2014;Магазин 3;9;Да;Завершено
374;5/3/2014;Магазин 2;;;Отказ
375;5/3/2014;Магазин 2;;;Отказ
376;5/3/2014;Магазин 4;;;Отказ
377;5/3/2014;Магазин 4;;;Отказ
378;5/3/2014;Магазин 1;;;Отказ
379;5/3/2014;Магазин 4;10;Да;Завершено
380;5/3/2014;Магазин 4;10;Да;Завершено
381;5/3/2014;Магазин 4;9;Да;Завершено
382;5/3/2014;Магазин 4;10;Да;Завершено
383;5/3/2014;Магазин 4;;;Отказ
384;5/3/2014;Магазин 4;8;Да;Завершено
385;5/3/2014;Магазин 4;;;Отказ
386;5/3/2014;Магазин 4;;;Отказ
387;5/3/2014;Магазин 4;9;Да;Завершено
388;5/4/2014;Магазин 2;10;Да;Завершено
389;5/3/2014;Магазин 4;;;Отказ
390;5/3/2014;Магазин 4;10;Да;Завершено
391;5/3/2014;Магазин 4;10;Да;Завершено
392;5/3/2014;Магазин 4;;;Отказ
393;5/3/2014;Магазин 4;;;Отказ
394;5/6/2014;Магазин 4;8;Да;Завершено
395;5/3/2014;Магазин 4;5;Нет;Завершено
396;5/3/2014;Магазин 4;10;Да;Завершено
397;5/3/2014;Магазин 4;10;Да;Завершено
398;5/3/2014;Магазин 4;9;Да;Завершено
399;5/3/2014;Магазин 1;9;Да;Завершено
400;5/3/2014;Магазин 4;9;Да;Завершено
401;5/3/2014;Магазин 1;;;Отказ
402;5/3/2014;Магазин 1;9;Да;Завершено
403;5/3/2014;Магазин 4;9;Да;Завершено
404;5/3/2014;Магазин 4;9;Да;Завершено
405;5/3/2014;Магазин 4;7;Да;Завершено
406;5/3/2014;Магазин 4;9;Да;Завершено
407;5/3/2014;Магазин 4;9;Да;Завершено
408;5/3/2014;Магазин 4;9;Да;Завершено
409;5/3/2014;Магазин 4;10;Да;Завершено
410;5/3/2014;Магазин 4;8;Да;Завершено
411;5/3/2014;Магазин 4;10;Да;Завершено
412;5/3/2014;Магазин 4;10;Да;Завершено
413;5/4/2014;Магазин 4;7;Да;Завершено
414;5/3/2014;Магазин 4;9;Да;Завершено
415;5/3/2014;Магазин 4;2;Да;Завершено
416;5/3/2014;Магазин 4;8;Да;Завершено
417;5/3/2014;Магазин 4;9;Да;Завершено
418;5/3/2014;Магазин 4;9;Да;Завершено
419;5/3/2014;Магазин 4;9;Да;Завершено
420;5/3/2014;Магазин 4;;;Отказ
421;5/3/2014;Магазин 4;9;Да;Завершено
422;5/3/2014;Магазин 4;10;Да;Завершено
423;5/3/2014;Магазин 4;;;Отказ
424;5/3/2014;Магазин 4;10;Да;Завершено
425;5/3/2014;Магазин 4;10;Да;Завершено
426;5/3/2014;Магазин 4;10;Да;Завершено
427;5/3/2014;Магазин 4;9;Да;Завершено
428;5/3/2014;Магазин 4;10;Да;Завершено
429;5/3/2014;Магазин 4;;;Отказ
430;5/3/2014;Магазин 4;8;Нет;Завершено
431;5/3/2014;Магазин 4;9;Да;Завершено
432;5/3/2014;Магазин 4;7;Да;Завершено
433;5/3/2014;Магазин 4;9;Да;Завершено
434;5/3/2014;Магазин 4;9;Да;Завершено
435;5/3/2014;Магазин 4;9;Да;Завершено
436;5/7/2014;Магазин 4;9;Да;Завершено
437;5/4/2014;Магазин 2;;;Отказ
438;5/3/2014;Магазин 3;;;Отказ
439;5/4/2014;Магазин 1;7;Да;Завершено
440;5/4/2014;Магазин 2;10;Да;Завершено
441;5/3/2014;Магазин 1;9;Да;Завершено
442;5/4/2014;Магазин 2;10;Да;Завершено
443;5/3/2014;Магазин 3;10;Да;Завершено
444;5/3/2014;Магазин 1;;;Отказ
445;5/4/2014;Магазин 4;;;Отказ
446;5/3/2014;Магазин 3;10;Да;Завершено
447;5/3/2014;Магазин 1;9;Да;Завершено
448;5/3/2014;Магазин 3;5;Да;Завершено
449;5/3/2014;Магазин 3;10;Да;Завершено
450;5/3/2014;Магазин 3;9;Да;Завершено
451;5/3/2014;Магазин 1;;;Отказ
452;5/3/2014;Магазин 3;;;Отказ
453;5/3/2014;Магазин 1;;;Отказ
454;5/3/2014;Магазин 1;10;Да;Завершено
455;5/3/2014;Магазин 3;10;Да;Завершено
456;5/3/2014;Магазин 1;;;Отказ
457;5/3/2014;Магазин 3;;;Отказ
458;5/3/2014;Магазин 1;10;Да;Завершено
459;5/3/2014;Магазин 1;;;Отказ
460;5/4/2014;Магазин 4;9;Да;Завершено
461;5/3/2014;Магазин 3;10;Да;Завершено
462;5/4/2014;Магазин 2;6;Да;Завершено
463;5/4/2014;Магазин 2;;;Отказ
464;5/3/2014;Магазин 1;10;Да;Завершено
465;5/3/2014;Магазин 3;10;Да;Завершено
466;5/4/2014;Магазин 2;5;Нет;Завершено
467;5/4/2014;Магазин 2;3;Да;Завершено
468;5/4/2014;Магазин 2;10;Да;Завершено
469;5/4/2014;Магазин 2;10;Да;Завершено
470;5/4/2014;Магазин 2;;;Отказ
471;5/3/2014;Магазин 1;9;Да;Завершено
472;5/4/2014;Магазин 2;7;Да;Завершено
473;5/3/2014;Магазин 3;10;Да;Завершено
474;5/3/2014;Магазин 1;7;Нет;Завершено
475;5/4/2014;Магазин 2;7;Да;Завершено
476;5/4/2014;Магазин 2;;;Отказ
477;5/3/2014;Магазин 3;9;Да;Завершено
478;5/4/2014;Магазин 2;10;Да;Завершено
479;5/4/2014;Магазин 2;10;З/О;Завершено
480;5/4/2014;Магазин 2;9;Да;Завершено
481;5/3/2014;Магазин 3;;;Отказ
482;5/4/2014;Магазин 2;10;Да;Завершено
483;5/3/2014;Магазин 1;8;Да;Завершено
484;5/3/2014;Магазин 3;9;Да;Завершено
485;5/4/2014;Магазин 2;;;Отказ
486;5/4/2014;Магазин 2;;;Отказ
487;5/4/2014;Магазин 2;9;Да;Завершено
488;5/3/2014;Магазин 1;9;Да;Завершено
489;5/3/2014;Магазин 3;9;Да;Завершено
490;5/3/2014;Магазин 3;9;Да;Завершено
491;5/4/2014;Магазин 2;;;Отказ
492;5/4/2014;Магазин 2;5;Да;Завершено
493;5/4/2014;Магазин 2;8;З/О;Завершено
494;5/4/2014;Магазин 1;1;З/О;Завершено
495;5/3/2014;Магазин 1;8;Да;Завершено
496;5/4/2014;Магазин 2;10;Да;Завершено
497;5/3/2014;Магазин 3;7;З/О;Завершено
498;5/3/2014;Магазин 1;8;Да;Завершено
499;5/4/2014;Магазин 2;10;Да;Завершено
500;5/3/2014;Магазин 3;9;Да;Завершено
501;5/3/2014;Магазин 1;10;Нет;Завершено
502;5/3/2014;Магазин 3;;;Отказ
503;5/4/2014;Магазин 2;5;Да;Завершено
504;5/3/2014;Магазин 3;;;Отказ
505;5/4/2014;Магазин 2;;;Отказ
506;5/4/2014;Магазин 4;10;З/О;Завершено
507;5/3/2014;Магазин 3;9;Да;Завершено
508;5/3/2014;Магазин 3;;;Отказ
509;5/3/2014;Магазин 3;9;Да;Завершено
510;5/3/2014;Магазин 3;;;Отказ
511;5/3/2014;Магазин 3;10;Да;Завершено
512;5/3/2014;Магазин 3;4;Нет;Завершено
513;5/3/2014;Магазин 3;10;Да;Завершено
514;5/3/2014;Магазин 3;1;Да;Завершено
515;5/3/2014;Магазин 3;10;Да;Завершено
516;5/4/2014;Магазин 2;;;Отказ
517;5/3/2014;Магазин 3;10;Да;Завершено
518;5/4/2014;Магазин 2;;;Отказ
519;5/4/2014;Магазин 2;;;Отказ
520;5/3/2014;Магазин 3;10;Да;Завершено
521;5/3/2014;Магазин 3;8;Да;Завершено
522;5/3/2014;Магазин 3;10;Да;Завершено
523;5/4/2014;Магазин 2;;;Отказ
524;5/3/2014;Магазин 3;;;Отказ
525;5/4/2014;Магазин 2;;;Отказ
526;5/3/2014;Магазин 3;9;Да;Завершено
527;5/3/2014;Магазин 3;;;Отказ
528;5/3/2014;Магазин 3;9;Да;Завершено
529;5/3/2014;Магазин 3;9;Да;Завершено
530;5/3/2014;Магазин 3;10;Да;Завершено
531;5/3/2014;Магазин 3;10;Да;Завершено
532;5/3/2014;Магазин 3;;;Отказ
533;5/4/2014;Магазин 4;;;Отказ
534;5/4/2014;Магазин 4;10;Да;Завершено
535;5/4/2014;Магазин 4;8;Да;Завершено
536;5/4/2014;Магазин 4;;;Отказ
537;5/4/2014;Магазин 4;9;Да;Завершено
538;5/4/2014;Магазин 4;10;Да;Завершено
539;5/4/2014;Магазин 4;;;Отказ
540;5/4/2014;Магазин 4;;;Отказ
541;5/4/2014;Магазин 4;9;Да;Завершено
542;5/4/2014;Магазин 4;;;Отказ
543;5/4/2014;Магазин 4;;;Отказ
544;5/4/2014;Магазин 4;;;Отказ
545;5/4/2014;Магазин 4;10;Да;Завершено
546;5/4/2014;Магазин 4;;;Отказ
547;5/4/2014;Магазин 4;10;Да;Завершено
548;5/4/2014;Магазин 4;9;Да;Завершено
549;5/4/2014;Магазин 4;;;Отказ
550;5/4/2014;Магазин 4;8;Да;Завершено
551;5/4/2014;Магазин 4;9;Да;Завершено
552;5/4/2014;Магазин 4;9;Да;Завершено
553;5/4/2014;Магазин 4;;;Отказ
554;5/4/2014;Магазин 4;;;Отказ
555;5/4/2014;Магазин 4;10;Да;Завершено
556;5/6/2014;Магазин 4;;;Отказ
